title,content,status,posttype,thumbnail,proposedtype,sources,coords,proposeddate,,,,
Moose Lake Wind Power,15 MW Wind power project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,55.288072|-121.265456,,,,,
Morkill River,Water power project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,53.68|-120.401,,,,,
Mosley Watershed Hydroelectric project and wind electric project,"water power project, 5 sites",Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,51.649555|-124.95575,,,,,
Mount George Wind Park,Wind power project.,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,53.578|-122.394,,,,,
Murray River Coal,Underground coal mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,55.014728|-121.042043,,,,,
NaiKun Offshore Wind Energy,396 mw wind power project.,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,53.657661|-131.638184,,,,,
Narrows Inlet Hydro Project,Proposed 33 MW hydropower project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.7618|-123.6928,,,,,
New Prosperity Gold-Copper,new gold/copper mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,51.46667|-123.61667,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,50.22|-126.8,,,,,
NewTimes Energy Ltd. ,LNG processing facilities with up to three floating liquefied natural gas (FLNG) trains.,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.312389|-130.331886,,,,,
North West Stave,Proposed 17.5 mw Hydropower project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.62277778|-122.4488889,,,,,
Nulki Hills Wind Project,Wind power project.,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,53.76667|-124.15,,,,,
Orca LNG,"LNG terminal: a gas gathering and liquefaction facility that would consist of 6 Floating Liquefaction Storage and Offloading (ÒFLNGÓ) vessels, permanently moored near-shore",Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.313651|-130.331239,,,,,
Pacific Northwest LNG,Natural gas liquefaction and marine loading/shipping - export capacity est.= 10 mmtpa,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.1994|-130.2888,,,,,
